"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-May-2023","EQ","63.50","66.60","63.35","63.55","65.55","65.70","65.13","79.80","40.60","12,30,42,355","8,01,31,45,935.05","1,75,561"
"03-May-2023","EQ","63.45","64.95","63.15","63.45","63.55","63.55","64.06","79.80","40.60","6,50,82,316","4,16,91,89,655.30","1,07,613"
"02-May-2023","EQ","64.50","65.65","63.05","64.90","63.10","63.45","64.23","79.80","40.60","11,27,58,256","7,24,24,46,625.25","1,64,163"
"28-Apr-2023","EQ","60.80","66.00","59.55","60.70","64.50","64.90","63.16","81.60","40.60","19,09,38,290","12,05,89,33,180.80","2,17,511"
"27-Apr-2023","EQ","58.60","61.15","58.35","58.20","60.45","60.70","59.87","81.60","40.60","8,29,69,101","4,96,72,23,344.40","1,21,269"
"26-Apr-2023","EQ","58.10","59.00","57.10","57.75","58.20","58.20","58.17","81.60","40.60","5,97,65,915","3,47,67,10,140.65","1,06,004"
"25-Apr-2023","EQ","56.40","60.60","56.20","56.00","58.00","57.75","58.84","81.60","40.60","19,90,56,106","11,71,33,12,612.75","2,32,529"
"24-Apr-2023","EQ","55.50","56.40","54.70","56.05","56.20","56.00","55.61","81.60","40.60","4,32,87,483","2,40,70,71,196.20","78,079"
"21-Apr-2023","EQ","54.30","56.75","54.10","54.20","55.60","56.05","55.79","84.40","40.60","10,67,07,937","5,95,27,60,270.75","1,27,296"
"20-Apr-2023","EQ","54.15","54.40","53.65","54.15","54.35","54.20","54.08","84.40","40.60","2,30,96,046","1,24,90,45,779.60","39,299"
"19-Apr-2023","EQ","53.60","55.95","53.20","53.30","53.90","54.15","54.68","84.40","40.60","6,20,22,927","3,39,13,32,902.50","88,455"
"18-Apr-2023","EQ","54.05","54.20","53.05","53.95","53.20","53.30","53.39","84.40","40.60","2,76,17,603","1,47,45,56,529.40","55,272"
"17-Apr-2023","EQ","54.20","54.25","53.00","53.85","53.90","53.95","53.65","84.40","40.60","2,47,87,918","1,32,98,09,007.55","49,905"
"13-Apr-2023","EQ","53.20","54.15","52.85","53.20","54.00","53.85","53.62","88.30","40.60","2,66,46,279","1,42,87,27,475.05","52,152"
"12-Apr-2023","EQ","54.25","54.25","52.90","53.95","53.40","53.20","53.35","88.30","40.60","3,08,48,068","1,64,56,18,368.55","53,342"
"11-Apr-2023","EQ","54.65","55.25","53.25","53.95","53.80","53.95","54.25","88.30","40.60","4,11,01,417","2,22,98,08,977.35","71,681"
"10-Apr-2023","EQ","52.15","54.20","51.80","52.15","53.90","53.95","53.40","88.30","40.60","6,06,55,412","3,23,91,50,304.75","92,843"
"06-Apr-2023","EQ","51.75","52.45","51.30","51.70","52.10","52.15","51.98","88.30","40.60","1,96,95,678","1,02,38,51,467.90","43,200"
"05-Apr-2023","EQ","52.10","52.90","51.55","51.95","51.80","51.70","52.04","88.30","40.60","2,54,97,115","1,32,67,80,648.95","42,374"
"03-Apr-2023","EQ","51.50","52.15","50.90","51.00","51.90","51.95","51.61","88.30","40.60","2,92,41,512","1,50,90,74,264.70","44,942"
"31-Mar-2023","EQ","51.25","51.70","50.65","51.25","51.05","51.00","51.08","88.70","40.60","5,65,66,133","2,88,93,37,308.45","83,372"
"29-Mar-2023","EQ","50.25","51.75","49.60","50.25","50.95","51.25","50.73","88.70","40.60","4,14,64,387","2,10,34,60,084.00","68,147"
